,Early_school_leaving,Tertiary_education,NEET_rate,Employment_rate_graduates,Early_childhood_education,Adult_learning,Public_expenditure_education,Expenditure_per_student,Pupil_teacher_ratio_primary,Pupil_teacher_ratio_secondary,Low_reading_PISA,Low_math_PISA
Latvia,-0.19783082122057008,0.16172053970351094,-0.14134114994818223,0.15202132825671172,0.2072676932035256,-0.40272517620965353,0.6817314656555367,-0.8728192993661379,-0.538373055749831,-0.8637846511325378,-0.20319320667223023,0.1862821295507124
Lithuania,-1.041214848529313,0.41857080864438073,-0.32022604285135053,0.6274548258935271,-0.04546517141238323,-0.4389302142484793,-0.017259024446975916,-0.7863813760877975,-1.076746111499661,-1.5623754634540152,0.02596080281807319,0.020750414430965626
Luxembourg,-0.09240781780697697,1.7251569593435898,-0.8270665727436594,0.7859326584391322,0.44194821034686804,0.8041094250845356,-0.2502558544811471,3.0378418962266576,-1.307477421106732,-1.186211179896297,0.6999431836719071,0.4027466800919195
Malta,0.1535791901580728,-0.25147337120136737,-0.4394826381201287,1.2138228063122665,0.9293615921061193,0.08000866430802217,0.2157378055871953,0.8899904693103198,0.3460969644106056,-1.7235887278358948,1.5087220406965083,0.9502746608726197
Netherlands,-0.19783082122057008,0.8987691375338331,-1.6320485908079148,1.2613661560759475,0.5683146426548225,1.769577106119887,-0.017259024446975916,0.9607124065380529,0.8460148018925916,2.575431655680887,0.02596080281807319,-0.8705742054445934
Poland,-1.2520608553564985,-0.21797116220908025,-0.2307835963997664,0.579911476129846,-0.09962221383007724,-0.7285705185590846,-0.2502558544811471,-0.6108861985226821,-1.307477421106732,-0.4876203675748197,-0.1627542638210001,-0.14478130068878114
Portugal,-0.09240781780697697,0.38506859965209367,-0.4394826381201287,-0.32341216938010364,0.38779116792917406,0.04380362626919641,-0.13375743946406204,-0.26251517440088584,-0.42300740094629546,-0.8637846511325378,-0.5132251018649939,-0.10658167412268567
Romania,2.4728852652571165,-2.1834340897566076,2.4524897971477517,-1.3852136474356582,-1.9048569610865616,-1.2837144351544116,-2.347227324788686,-1.7293405391242385,1.7689400403208724,0.5871347283043757,2.2635823072528014,2.6947242740576427
Slovakia,-0.33839482577202706,-0.5083236401422371,0.4549418263957107,-0.053999854052574486,-1.4174435793273104,-0.8854590167273292,-0.8327479295665746,-0.943541236593871,1.1152013297675067,0.9632990118620938,0.8347396598426738,0.440946306658015
Slovenia,-1.3926248599079558,0.41857080864438073,-0.9165090191952435,0.6274548258935271,0.02674421847787717,-0.07687983386022251,0.3322362206042804,-0.1577419340635035,0.7306491470890562,0.7483479926862554,-0.9715331208456007,-0.908773832010689
Spain,1.5592192356726444,0.6419188685929634,0.9617823562880194,-1.2267358148900531,0.9293615921061193,-0.04067479582139675,-0.48325268451531833,-0.3489530976792263,-0.15382087307138037,0.049757180364778025,0.16075727898883996,0.2754145915382682
Sweden,-0.44381782918561985,0.831764719549259,-1.4233495490875523,0.579911476129846,0.6224716850725165,2.8195232092458324,2.312709275894734,1.0471503298163933,-0.30764174614276,0.4259214639224961,-0.7423791113552973,-1.0870387559858006
